name,label,Sum,location1,location2,location3,location4,location5,location6,location7,location8,location9,size1,size2,focus1,focus2,location,bright1,bright2,yaw,pitch,roll,contrast1,contrast2
(0)p577617242+2+2.jpg,1.0,4,1,2,1,0,0,0,0,0,0,0.6298778084351596,0.0051136,0.9627267429668792,2.486077276162663,2,0.6968361341697196,0.9740592534032478,54.39253234863281,7.42828369140625,23.125282287597656,0.9823646303456928,1.04981666232156
(1)p577617242+2+2.jpg,1.0,4,1,2,1,0,0,0,0,0,0,1.0,0.0081184,0.8150632137901626,2.104761448918788,2,0.8268364375454434,1.155777726712946,-37.41883850097656,7.7153472900390625,-15.916839599609377,0.9662107664310918,1.0325536268105444
(2)p577617242+2+2.jpg,0.0,4,1,2,1,0,0,0,0,0,0,0.5297595585337013,0.0043008,0.1781048991098096,0.4599254624272698,1,0.6646584607505727,0.9290802992273812,0.3626708984375,2.1246871948242188,0.3020553588867187,1.0,1.068662928094358
(3)p577617242+2+2.jpg,0.0,4,1,2,1,0,0,0,0,0,0,0.4406779661016949,0.0035776,1.0,2.582329092158804,3,1.0,1.3978311480127816,8.90594482421875,7.810409545898437,1.2393264770507812,0.969024923244646,1.035561011871034
(0)p1750078390+1+1.jpg,1.0,4,0,4,0,0,0,0,0,0,0,0.3254237288135593,0.0037735849056603,1.0,1.476150124272581,2,0.7337006209512345,1.7823429964489763,-3.908248901367188,0.9884185791015624,7.321678161621094,1.0,1.4313286410502513
(1)p1750078390+1+1.jpg,1.0,4,0,4,0,0,0,0,0,0,0,1.0,0.0115959119496855,0.7157618829013881,1.0565719923944603,2,0.9246181838547048,2.246129684674669,-25.474510192871094,-1.2652130126953125,6.08514404296875,0.937324122002141,1.3416188617689444
(2)p1750078390+1+1.jpg,1.0,4,0,4,0,0,0,0,0,0,0,0.6601694915254237,0.0076552672955974,0.4137648751525613,0.6107790718760824,2,0.7253030212377213,1.7619431186119412,69.18946838378906,-39.55646896362305,-16.85779571533203,0.8378632181155107,1.199257621371264
(3)p1750078390+1+1.jpg,0.0,4,0,4,0,0,0,0,0,0,0,0.2432203389830508,0.0028203616352201,0.811141833375089,1.1973671181393268,2,1.0,2.429251039938046,55.32760620117188,10.115638732910156,18.894081115722656,0.924037362364125,1.3226011421523016
(0)p2557355745+3+1.jpg,0.0,10,1,2,1,1,2,3,0,0,0,0.033003300330033,0.0013411740431239,0.2642660497827647,1.5114954398621574,5,0.7682927006880581,1.007534809971473,7.384620666503906,11.023162841796877,0.3384933471679687,0.9599293147356944,1.253564683181133
(1)p2557355745+3+1.jpg,1.0,10,1,2,1,1,2,3,0,0,0,1.0,0.0406375735066542,0.1630344537427883,0.9324914553920656,2,0.9380612391171452,1.2301683348664774,10.793952941894531,3.77899169921875,-11.376792907714844,0.9556920450314904,1.248031263612874
(2)p2557355745+3+1.jpg,1.0,10,1,2,1,1,2,3,0,0,0,0.7149022594567149,0.0290518931187454,0.1477113199767555,0.8448492976847274,3,0.901187460602134,1.1818122651084535,6.539718627929688,4.932701110839844,-0.2501983642578125,0.9584465577313326,1.2516283616354995
(3)p2557355745+3+1.jpg,1.0,10,1,2,1,1,2,3,0,0,0,0.7037319116527038,0.028597957288765,0.3696473657083725,2.114234151850192,4,0.8606547289491375,1.128657864387149,-2.876060485839844,-2.851844787597656,-1.336578369140625,0.9465229735333522,1.2360574400915108
(4)p2557355745+3+1.jpg,0.0,10,1,2,1,1,2,3,0,0,0,0.1736481340441736,0.0070566388115134,0.1518930177590723,0.8687669259008727,6,0.6171642084559189,0.8093457388453018,-1.3567657470703125,-25.500328063964844,4.24481201171875,0.9643740149374402,1.2593689847215757
(5)p2557355745+3+1.jpg,0.0,10,1,2,1,1,2,3,0,0,0,0.2193450114242193,0.0089136490250696,0.2719779902429159,1.5556046353020905,5,0.7175066760517018,0.940934297386396,8.785369873046875,-6.679244995117188,-6.625244140625,0.9636259862398608,1.258392139507145
(6)p2557355745+3+1.jpg,0.0,10,1,2,1,1,2,3,0,0,0,0.039096217314039,0.0015887754049313,0.1631098815783892,0.9329228722526242,6,0.6669103444740191,0.8745825472321638,6.131072998046875,8.397125244140625,0.5691146850585938,0.9754166638303092,1.2737894992827767
